"","timeslot","colony","treatment","similarity","target_color","target_concentration","companion_color","companion_concentration","species","total_visitation","flowertype","number_individuals","relative_target_visitation","date","start_time_of_experiment","temp_at_start_of_experiment","comments","id","attractiveness"
"173",11,"11","3","Similar","orange",10,"yellow","40","stingless",22,"target",1,0.0454545454545455,"2025-02-26","12:22",26,"topped up honey solution + suddenly became really sunny...","11_3","high"
"174",11,"11","3","Similar","orange",10,"yellow","40","honeybee",22,"target",0,0.0454545454545455,"2025-02-26","12:22",26,"topped up honey solution + suddenly became really sunny...","11_3","high"
"175",11,"11","3","Similar","orange",10,"yellow","40","stingless",22,"companion",21,0.0454545454545455,"2025-02-26","12:22",26,"topped up honey solution + suddenly became really sunny...","11_3","high"
"176",11,"11","3","Similar","orange",10,"yellow","40","honeybee",22,"companion",0,0.0454545454545455,"2025-02-26","12:22",26,"topped up honey solution + suddenly became really sunny...","11_3","high"
"177",10,"11","3","Similar","orange",10,"yellow","40","stingless",11,"target",4,0.363636363636364,"2025-02-26","12:22",26,"","11_3","high"
"178",10,"11","3","Similar","orange",10,"yellow","40","honeybee",11,"target",0,0.363636363636364,"2025-02-26","12:22",26,"","11_3","high"
"179",10,"11","3","Similar","orange",10,"yellow","40","stingless",11,"companion",7,0.363636363636364,"2025-02-26","12:22",26,"","11_3","high"
"180",10,"11","3","Similar","orange",10,"yellow","40","honeybee",11,"companion",0,0.363636363636364,"2025-02-26","12:22",26,"","11_3","high"
"181",11,"10","3","Similar","orange",10,"yellow","40","stingless",11,"target",3,0.272727272727273,"2025-02-26","12:17",26,"","10_3","high"
"182",11,"10","3","Similar","orange",10,"yellow","40","honeybee",11,"target",0,0.272727272727273,"2025-02-26","12:17",26,"","10_3","high"
"183",11,"10","3","Similar","orange",10,"yellow","40","stingless",11,"companion",8,0.272727272727273,"2025-02-26","12:17",26,"","10_3","high"
"184",11,"10","3","Similar","orange",10,"yellow","40","honeybee",11,"companion",0,0.272727272727273,"2025-02-26","12:17",26,"","10_3","high"
"185",9,"11","3","Similar","orange",10,"yellow","40","stingless",13,"target",4,0.307692307692308,"2025-02-26","12:22",26,"","11_3","high"
"186",9,"11","3","Similar","orange",10,"yellow","40","honeybee",13,"target",0,0.307692307692308,"2025-02-26","12:22",26,"","11_3","high"
"187",9,"11","3","Similar","orange",10,"yellow","40","stingless",13,"companion",9,0.307692307692308,"2025-02-26","12:22",26,"","11_3","high"
